[backend] running 188 gates, concurrency 4
(node:138596) [DEP0190] DeprecationWarning: Passing args to a child process with shell option true can lead to security vulnerabilities, as the arguments are not escaped, only concatenated.
(Use `node --trace-deprecation ...` to show where the warning was created)
[backend] 1/188 check:alert-ack -> EXIT 2 (1218ms)
[backend] 2/188 check:alert-ack:self-test -> PASS (1236ms)
[backend] 3/188 check:ai-charge -> PASS (1676ms)
[backend] 4/188 check:ai-charge:self-test -> PASS (1707ms)
[backend] 5/188 check:alert-system -> PASS (1570ms)
[backend] 6/188 check:audit-log-privileges:self-test -> PASS (1319ms)
[backend] 7/188 check:audit-log-privileges -> PASS (2479ms)
[backend] 8/188 check:authz-deny:self-test -> PASS (1209ms)
[backend] 9/188 check:authz-deny -> PASS (3443ms)
[backend] 10/188 check:baseline-integrity -> PASS (1952ms)
[backend] 11/188 check:bare-throw:self-test -> PASS (2277ms)
[backend] 12/188 check:baseline-integrity:self-test -> PASS (2202ms)
[backend] 13/188 check:benchmark-http:self-test -> PASS (2213ms)
[backend] 14/188 check:benchmark-manifest -> EXIT 1 (2439ms)
[backend] 15/188 check:bare-throw -> PASS (6168ms)
[backend] 16/188 check:benchmark-manifest:self-test -> PASS (2150ms)
[backend] 17/188 check:benchmark-regression:self-test -> PASS (2080ms)
[backend] 18/188 check:bodyless-conflicts -> PASS (2594ms)
[backend] 19/188 check:bodyless-conflicts:self-test -> PASS (2262ms)
[backend] 20/188 check:bounded-contracts -> PASS (2204ms)
[backend] 21/188 check:bounded-contracts:self-test -> PASS (3509ms)
[backend] 22/188 check:bulk-id-limits:self-test -> PASS (3575ms)
[backend] 23/188 check:bulk-id-limits -> PASS (4530ms)
[backend] 24/188 check:cache-invalidation:self-test -> PASS (2209ms)
[backend] 25/188 check:cache-key-shapes -> PASS (2288ms)
[backend] 26/188 check:cache-key-shapes:self-test -> PASS (2058ms)
[backend] 27/188 check:compression -> PASS (2084ms)
[backend] 28/188 check:cache-invalidation -> PASS (6639ms)
[backend] 29/188 check:compression:self-test -> PASS (2149ms)
[backend] 30/188 check:conflict-targets:self-test -> PASS (2963ms)
[backend] 31/188 check:contract-breaking-change -> PASS (3277ms)
[backend] 32/188 check:contract-breaking-change:self-test -> PASS (2250ms)
[backend] 33/188 check:contract-registry -> PASS (2967ms)
[backend] 34/188 check:contract-registry:self-test -> PASS (2112ms)
[backend] 35/188 check:db-call-count -> PASS (3165ms)
[backend] 36/188 check:body-binding -> PASS (24702ms)
[backend] 37/188 check:db-call-count:self-test -> PASS (2111ms)
[backend] 38/188 check:db-generate-guard -> PASS (1837ms)
