[backend] running 188 gates, concurrency 5
(node:139416) [DEP0190] DeprecationWarning: Passing args to a child process with shell option true can lead to security vulnerabilities, as the arguments are not escaped, only concatenated.
(Use `node --trace-deprecation ...` to show where the warning was created)
[backend] 1/188 check:alert-ack -> EXIT 2 (1696ms)
[backend] 2/188 check:alert-ack:self-test -> PASS (2302ms)
[backend] 3/188 check:alert-system -> PASS (2653ms)
[backend] 4/188 check:ai-charge -> PASS (2784ms)
[backend] 5/188 check:ai-charge:self-test -> PASS (2814ms)
[backend] 6/188 check:audit-log-privileges -> EXIT 2 (3027ms)
[backend] 7/188 check:audit-log-privileges:self-test -> PASS (2480ms)
[backend] 8/188 check:authz-deny:self-test -> PASS (2358ms)
[backend] 9/188 check:baseline-integrity -> PASS (2448ms)
[backend] 10/188 check:bare-throw:self-test -> PASS (2768ms)
[backend] 11/188 check:baseline-integrity:self-test -> PASS (2426ms)
[backend] 12/188 check:authz-deny -> PASS (5285ms)
[backend] 13/188 check:benchmark-http:self-test -> PASS (2275ms)
[backend] 14/188 check:benchmark-manifest:self-test -> PASS (2390ms)
[backend] 15/188 check:benchmark-manifest -> EXIT 1 (2489ms)
[backend] 16/188 check:benchmark-regression:self-test -> PASS (2247ms)
[backend] 17/188 check:bare-throw -> PASS (7921ms)
[backend] 18/188 check:bodyless-conflicts:self-test -> PASS (2171ms)
[backend] 19/188 check:bodyless-conflicts -> PASS (2695ms)
[backend] 20/188 check:bounded-contracts -> PASS (2439ms)
[backend] 21/188 check:bounded-contracts:self-test -> PASS (2192ms)
[backend] 22/188 check:bulk-id-limits:self-test -> PASS (2449ms)
[backend] 23/188 check:cache-invalidation:self-test -> PASS (2497ms)
[backend] 24/188 check:bulk-id-limits -> PASS (3502ms)
[backend] 25/188 check:cache-key-shapes -> PASS (2749ms)
[backend] 26/188 check:cache-key-shapes:self-test -> PASS (2787ms)
[backend] 27/188 check:compression -> PASS (2960ms)
[backend] 28/188 check:cache-invalidation -> PASS (7555ms)
[backend] 29/188 check:compression:self-test -> PASS (3253ms)
[backend] 30/188 check:conflict-targets:self-test -> PASS (4015ms)
[backend] 31/188 check:contract-breaking-change -> PASS (4618ms)
[backend] 32/188 check:contract-breaking-change:self-test -> PASS (3757ms)
[backend] 33/188 check:contract-registry -> PASS (5045ms)
[backend] 34/188 check:contract-registry:self-test -> PASS (3246ms)
[backend] 35/188 check:db-call-count:self-test -> PASS (3244ms)
[backend] 36/188 check:db-call-count -> PASS (4542ms)
[backend] 37/188 check:db-generate-guard -> PASS (2560ms)
[backend] 38/188 check:db-generate-guard:self-test -> PASS (2660ms)
[backend] 39/188 check:dead-code:self-test -> PASS (2690ms)
[backend] 40/188 check:body-binding -> PASS (28578ms)
[backend] 41/188 check:conflict-targets -> PASS (24516ms)
[backend] 42/188 check:declaration-column-drift:self-test -> PASS (11103ms)
[backend] 43/188 check:declaration-column-drift -> PASS (13685ms)
[backend] 44/188 check:drop-column-safety -> PASS (3026ms)
[backend] 45/188 check:declaration-constraint-drift -> EXIT 1 (13029ms)
[backend] 46/188 check:dead-code -> PASS (22313ms)
[backend] 47/188 check:drop-column-safety:self-test -> PASS (1955ms)
[backend] 48/188 check:envelope-consistency:self-test -> PASS (2260ms)
[backend] 49/188 check:declaration-constraint-drift:self-test -> PASS (9328ms)
[backend] 50/188 check:evidence-seal -> PASS (2314ms)
[backend] 51/188 check:envelope-consistency -> PASS (3479ms)
[backend] 52/188 check:feature-flag-governance -> PASS (2049ms)
[backend] 53/188 check:evidence-seal:self-test -> PASS (2189ms)
[backend] 54/188 check:feature-flag-governance:self-test -> PASS (2130ms)
[backend] 55/188 check:file-sizes -> EXIT 1 (2762ms)
[backend] 56/188 check:fire-and-forget:self-test -> PASS (1973ms)
[backend] 57/188 check:file-sizes:self-test -> PASS (2293ms)
[backend] 58/188 check:fire-and-forget -> PASS (2972ms)
[backend] 59/188 check:gate-wiring -> PASS (2168ms)
[backend] 60/188 check:gate-wiring:self-test -> PASS (2243ms)
[backend] 61/188 check:hardcoded-secrets:self-test -> PASS (1971ms)
[backend] 62/188 check:hr-pagination -> PASS (2029ms)
[backend] 63/188 check:hr-pagination:self-test -> PASS (2105ms)
[backend] 64/188 check:hr-table-freeze -> PASS (1994ms)
[backend] 65/188 check:hr-table-freeze:self-test -> PASS (1976ms)
[backend] 66/188 check:idempotent-commands -> PASS (2114ms)
[backend] 67/188 check:idempotent-commands:self-test -> PASS (1907ms)
[backend] 68/188 check:import-direction -> PASS (1892ms)
[backend] 69/188 check:import-direction:self-test -> PASS (1854ms)
[backend] 70/188 check:kebab-case -> PASS (2017ms)
[backend] 71/188 check:kebab-case:self-test -> PASS (1799ms)
[backend] 72/188 check:hardcoded-secrets -> PASS (9437ms)
[backend] 73/188 check:licenses:self-test -> PASS (1825ms)
[backend] 74/188 check:licenses -> PASS (3470ms)
[backend] 75/188 check:lifecycle-predicates -> PASS (3783ms)
[backend] 76/188 check:log-secrets -> PASS (2396ms)
[backend] 77/188 check:lifecycle-predicates:self-test -> PASS (3647ms)
[backend] 78/188 check:log-secrets:self-test -> PASS (1775ms)
[backend] 79/188 check:migration-chain:self-test -> PASS (1768ms)
[backend] 80/188 check:migration-discipline -> PASS (1814ms)
[backend] 81/188 check:migration-discipline:self-test -> PASS (1606ms)
[backend] 82/188 check:migration-chain -> PASS (2786ms)
[backend] 83/188 check:migration-immutability -> PASS (1826ms)
[backend] 84/188 check:migration-immutability:self-test -> PASS (1687ms)
[backend] 85/188 check:migration-ledger:self-test -> PASS (1699ms)
[backend] 86/188 check:migration-ledger -> PASS (2805ms)
[backend] 87/188 check:migration-rollback -> PASS (1874ms)
[backend] 88/188 check:migration-rollback:self-test -> PASS (1788ms)
[backend] 89/188 check:mock-surface:self-test -> PASS (1693ms)
[backend] 90/188 check:module-di:self-test -> PASS (1688ms)
[backend] 91/188 check:mock-surface -> PASS (4306ms)
[backend] 92/188 check:module-entitlement -> PASS (2603ms)
[backend] 93/188 check:module-entitlement:self-test -> PASS (2236ms)
[backend] 94/188 check:module-di -> PASS (4505ms)
[backend] 95/188 check:module-gate -> PASS (3172ms)
[backend] 96/188 check:module-gate:self-test -> PASS (2965ms)
[backend] 97/188 check:module-lifecycle:self-test -> PASS (2789ms)
[backend] 98/188 check:module-registration -> PASS (2386ms)
[backend] 99/188 check:module-registration:self-test -> PASS (2212ms)
[backend] 100/188 check:multipart-contracts -> PASS (2330ms)
[backend] 101/188 check:module-lifecycle -> PASS (5955ms)
[backend] 102/188 check:multipart-contracts:self-test -> PASS (1897ms)
[backend] 103/188 check:namespace-coverage -> PASS (2351ms)
[backend] 104/188 check:n1-growing-loops:self-test -> PASS (2720ms)
[backend] 105/188 check:namespace-coverage:self-test -> PASS (1995ms)
[backend] 106/188 check:openapi-coverage -> PASS (2418ms)
[backend] 107/188 check:navigation-permissions:self-test -> PASS (3079ms)
[backend] 108/188 check:navigation-permissions -> PASS (4133ms)
[backend] 109/188 check:openapi-coverage:self-test -> PASS (1976ms)
[backend] 110/188 check:openapi-path-params -> PASS (2293ms)
[backend] 111/188 check:openapi-path-params:self-test -> PASS (2160ms)
[backend] 112/188 check:operation-ids -> PASS (2300ms)
[backend] 113/188 check:operation-ids:self-test -> PASS (2089ms)
[backend] 114/188 check:outbox-consumers:self-test -> PASS (1784ms)
[backend] 115/188 check:outbox-consumers -> PASS (2607ms)
[backend] 116/188 check:over-300 -> PASS (2688ms)
[backend] 117/188 check:over-300:self-test -> PASS (2190ms)
[backend] 118/188 check:owner-authority -> PASS (2968ms)
[backend] 119/188 check:owner-authority:self-test -> PASS (1880ms)
[backend] 120/188 check:permission-keys:self-test -> PASS (2352ms)
[backend] 121/188 check:permission-keys -> PASS (3328ms)
[backend] 122/188 check:placement-bypass:self-test -> PASS (1529ms)
[backend] 123/188 check:public-object-urls:self-test -> PASS (1742ms)
[backend] 124/188 check:placement-bypass -> PASS (8201ms)
[backend] 125/188 check:public-object-urls -> PASS (6219ms)
[backend] 126/188 check:n1-growing-loops -> PASS (25232ms)
[backend] 127/188 check:record-access -> PASS (2008ms)
[backend] 128/188 check:query-projections:self-test -> PASS (2751ms)
[backend] 129/188 check:record-access:self-test -> PASS (1700ms)
[backend] 130/188 check:query-projections -> PASS (10061ms)
[backend] 131/188 check:referential-action-drift -> EXIT 2 (7297ms)
[backend] 132/188 check:referential-action-drift:self-test -> PASS (7000ms)
