klass,s,t,col,dt
address,public,activity_participants,address,text
address,public,billing_invoice_snapshots,buyer_address,jsonb
address,public,billing_invoice_snapshots,seller_address,jsonb
address,public,billing_profiles,address_line1,text
address,public,billing_profiles,address_line2,text
address,public,billing_profiles,city,character varying
address,public,billing_profiles,pincode,character varying
address,public,business_parties,city,text
address,public,clients,city,text
address,public,gl_parties,billing_city,text
address,public,gl_parties,billing_postal_code,text
address,public,gl_parties,shipping_city,text
address,public,gl_parties,shipping_postal_code,text
address,public,inv_locations,capacity,numeric
address,public,inv_sales_orders,shipping_address,text
address,public,inv_vendors,address,text
address,public,inv_warehouses,address,text
address,public,inv_warehouses,city,text
address,public,leads,city,text
address,public,legal_entities,registered_address,jsonb
address,public,login_history,city,text
address,public,organization_people,address,jsonb
address,public,organizations,address,jsonb
address,public,relationship_participants,address,text
address,public,sign_watermark_policies,opacity,integer
bank_payment,public,bank_profiles,bank_name,text
bank_payment,public,fin_bank_accounts,account_number_masked,text
bank_payment,public,fin_bank_accounts,bank_name,text
bank_payment,public,fin_bank_accounts,ifsc,text
bank_payment,public,fin_bank_imports,bank_account_id,integer
bank_payment,public,fin_bank_transactions,bank_account_id,integer
bank_payment,public,fin_bank_transfers,from_bank_account_id,integer
bank_payment,public,fin_bank_transfers,to_bank_account_id,integer
bank_payment,public,fin_reimbursement_batches,bank_account_id,integer
bank_payment,public,hr_employee_sensitive_fields,bank_details,text
bank_payment,public,payment_manual_methods,bank_name,text
bank_payment,public,payment_manual_methods,ifsc_swift_iban,text
bank_payment,public,payment_manual_methods,masked_account_number,text
bank_payment,public,payment_manual_methods,upi_id,text
bank_payment,public,payroll_bank_batch_items,ifsc,text
bank_payment,public,sign_envelopes,routing_mode,USER-DEFINED
bank_payment,public,sign_recipients,routing_order,integer
biometric,public,biometric_logs,biometric_user_id,text
biometric,public,devices,fingerprint,text
biometric,public,fin_bank_transactions,fingerprint,text
biometric,public,hr_device_employee_mappings,biometric_id,text
biometric,public,inv_demand_forecasts,input_fingerprint,text
compensation,build,project_members,hourly_rate,numeric
compensation,build,project_members,hourly_rate_minor,bigint
compensation,public,ai_credit_packs,bonus_credits,integer
compensation,public,candidate_offers,offered_salary,numeric
compensation,public,candidate_referrals,bonus_amount,numeric
compensation,public,candidate_referrals,bonus_eligible,boolean
compensation,public,candidate_referrals,bonus_paid_at,timestamp without time zone
compensation,public,employee_salary_profiles,annual_ctc,numeric
compensation,public,employee_salary_profiles,basic_salary,numeric
compensation,public,fnf_settlements,bonus_due,numeric
compensation,public,fnf_settlements,net_payable,numeric
compensation,public,hr_comp_recommendations,current_salary_cents,bigint
compensation,public,hr_contracts,stipend_cents,integer
compensation,public,hr_employee_sensitive_fields,salary_amount_cents,integer
compensation,public,hr_employee_sensitive_fields,salary_currency,text
compensation,public,hr_employee_sensitive_fields,salary_frequency,text
compensation,public,job_postings,salary_max,numeric
compensation,public,job_postings,salary_min,numeric
compensation,public,offer_negotiations,proposed_salary,numeric
compensation,public,offer_versions,offered_salary,numeric
compensation,public,payroll_run_employees,net_payout_currency,numeric
compensation,public,payslip_publications,payslip_template_id,integer
compensation,public,salary_components,include_in_ctc,boolean
compensation,public,salary_components,show_on_payslip,boolean
compensation,public,salary_structure_templates,basic_salary,numeric
compensation,public,vendor_candidate_submissions,pay_rate,numeric
credential,build,git_connections,webhook_secret,text
credential,build,project_webhooks,secret,text
credential,public,accounts,access_token,text
credential,public,accounts,id_token,text
credential,public,accounts,refresh_token,text
credential,public,agent_tokens,token_hash,text
credential,public,certifications,credential_id,text
credential,public,certifications,credential_url,text
credential,public,chat_channel_invite_links,token_hash,text
credential,public,crm_mailbox_sync,push_secret,text
credential,public,hr_automation_rules,webhook_secret,text
credential,public,hr_webhook_subscriptions,secret,text
credential,public,inv_webhooks,secret,text
credential,public,invitations,token_hash,text
credential,public,magic_link_tokens,token_hash,text
credential,public,payment_provider_credentials,secret_ref,text
credential,public,payment_provider_credentials,webhook_secret_ref,text
credential,public,platform_visits,session_token,text
credential,public,platform_waitlist,token_hash,text
credential,public,portal_invitations,token_hash,text
credential,public,sign_org_settings,webhook_secret,text
credential,public,sign_recipients,otp_code_hash,text
credential,public,sign_recipients,signing_token_hash,text
credential,public,support_channels,inbound_secret,text
credential,public,survey_participants,access_token_hash,text
credential,public,user_api_tokens,token_hash,text
credential,public,users,totp_enabled,boolean
credential,public,users,totp_secret,text
credential,public,webhook_endpoints,secret,text
date_of_birth,public,hr_dependents,date_of_birth,date
date_of_birth,public,organization_people,date_of_birth,date
date_of_birth,public,users,date_of_birth,date
email,build,feedback_posts,submitted_by_email,text
email,build,feedbucket_submissions,reporter_email,text
