AI redaction probe — executes the real redactSensitiveData from
/Users/tarunchintakunta/Personal/streamline/streamlineos-backend/src/modules/ai/core/redaction.util.ts
Run: 2026-09-03T16:36:45.573Z

| Probe | Input | Output | Redacted? |
|---|---|---|---|
| PAN (India) | ABCDE1234F | ABCDE1234F | **NO — passes through** |
| Aadhaar (spaced) | 2345 6789 0123 | 2345 6789 0123 | **NO — passes through** |
| Aadhaar (solid) | 234567890123 | 234567890123 | **NO — passes through** |
| UAN | 101234567890 | 101234567890 | **NO — passes through** |
| IFSC | HDFC0001234 | HDFC0001234 | **NO — passes through** |
| Indian mobile +91 | +91 98765 43210 | +91 98765 43210 | **NO — passes through** |
| Indian mobile bare | 9876543210 | 9876543210 | **NO — passes through** |
| GSTIN | 27ABCDE1234F1Z5 | 27ABCDE1234F1Z5 | **NO — passes through** |
| Passport (India) | M1234567 | M1234567 | **NO — passes through** |
| Person name | Priya Ramaswamy | Priya Ramaswamy | **NO — passes through** |
| Postal address | 12 MG Road, Indiranagar, Bengaluru 560038 | 12 MG Road, Indiranagar, Bengaluru 560038 | **NO — passes through** |
| Date of birth | 1991-04-17 | 1991-04-17 | **NO — passes through** |
| Blood group | O negative | O negative | **NO — passes through** |
| Salary | gross 1450000 INR per annum | gross 1450000 INR per annum | **NO — passes through** |
| --- CONTROL: email | priya@example.com | [REDACTED_EMAIL] | YES |
| --- CONTROL: US SSN | 123-45-6789 | [REDACTED_SSN] | YES |
| --- CONTROL: US phone | 415-555-0123 | [REDACTED_PHONE] | YES |
| --- CONTROL: card | 4111 1111 1111 1111 | [REDACTED_CARD] | YES |
| --- CONTROL: bearer | Bearer abcdef0123456789xyz | Bearer [REDACTED_TOKEN] | YES |
| --- CONTROL: api key | sk-abcdefghijklmnop0123 | [REDACTED_TOKEN] | YES |

RESULT: 14 of 20 probe strings reached the provider UNREDACTED.
